FID,X,Y,twi,curvature,slope,elevation,aspect,lithology,land_use,class
41,369620.5068,7341768.941,4.986567974,0.004039121,25.54939842,125.1380844,265.6005249,2,90,0
35,377987.9715,7346729.888,3.591058969,-0.002692946,28.87157631,20.84424782,210.9254303,2,90,0
196,379740.3229,7357240.187,6.682012081,-0.008087832,11.33861351,5.026316166,0.30454123,65,90,1
126,373367,7347570,2.954426289,-0.007107184,27.52337074,53.852108,148.6078949,2,90,1
194,379331.1667,7356869.344,5.457664013,0.004764464,27.09522057,20.93483734,334.6312561,65,90,1
60,370778.0612,7349375.727,10.52518177,3.10E-06,0.153848469,3.692256689,132.1967621,2,90,0
73,374680.6732,7354601.258,13.18834972,-6.02E-06,0.05685522,1.170780897,355.1895142,2,70,0
175,380188,7355077,4.31979847,-0.01537165,33.86004257,25.91223907,277.4851379,65,90,1
82,371836.3967,7350123.176,11.4139576,-3.67E-07,0.253021836,4.118639946,110.8256607,2,90,0
151,375217.0664,7349087.651,4.725493431,-0.002023813,31.82554626,129.6764374,160.8343506,65,90,1
117,371843,7346480,4.025763035,-0.008107572,28.1687851,29.66653061,282.0887146,2,90,1
93,378083.9271,7347048.299,5.280734539,-0.006532127,37.35463333,27.89367485,315.6596375,2,30,0
37,378186.4094,7347689.005,8.379906654,0.000264738,0.13145493,2.878356934,86.36608124,2,30,0
123,372051,7347313,3.471626997,-0.000173854,31.85390091,155.1803741,323.2820435,65,20,1
119,372439,7346564,6.534352303,0.002965473,20.69125748,19.49218369,266.3990784,2,90,1
176,380573,7355121,4.956262589,0.004380087,26.23144722,135.140625,359.4183655,65,90,1
168,377410,7354452,4.031870842,-0.019764321,35.36120224,14.52309227,284.9174194,2,90,1
14,375077.549,7354072.091,13.74415302,-7.22E-06,0.136603996,1.709659815,334.1882324,2,40,0
140,373418,7348474,3.687173843,0.000300057,26.60417175,35.62966919,307.3996887,65,20,1
65,373027.0241,7350930.157,11.97542477,-7.21E-06,0.014923796,3.65290308,187.5615845,2,40,0
43,366842.3763,7342463.474,4.788785934,-0.002181129,30.22419167,83.31955719,128.24086,2,90,0
165,376841,7354165,4.452368736,-0.018912658,19.26595688,5.33796978,266.3388977,2,90,1
174,380247,7355075,3.111852407,0.009216893,65.80791473,183.3863068,335.5787048,65,90,1
135,373085,7348103,3.785868,3.785868,24.407747,29.56753,327.68576,65,30,1
158,379144,7353157,7.022772789,-0.024067197,14.01349735,10.54997253,144.7627258,65,30,1
79,378880.942,7349805.676,2.870593786,0.012698338,29.53818512,24.97511482,150.8601685,2,90,0
141,373481,7348487,7.144595146,-0.006549432,15.43968296,34.91998672,347.2944641,65,90,1
52,369025.1931,7346465.305,8.896893501,0.000119872,0.078388467,3.306646109,283.3606567,2,130,0
