FID,X,Y,twi,curvature,slope,elevation,aspect,lithology,land_use,class
159,376797,7353183,5.254999638,-0.001757329,27.57062721,44.77903366,100.0996017,2,90,1
88,379331,7356088,3.677088976,4.686416626,25.477808,145.4818115,344.6014404,65,90,0
104,371074,7345111,6.68855381,-0.010575908,29.80139923,15.33096313,71.88104248,2,20,1
63,376766,7353694,3.634343863,-0.266972065,13.64481258,7.059646606,335.8629456,65,90,0
35,373085,7348253,5.66896534,-1.33701992,13.07430744,10.06854725,278.9790039,65,30,0
68,377400,7354602,4.825721264,-0.857376575,7.9300704,5.029453278,278.2884216,2,90,0
95,379331,7357019,8.266359329,0.036248922,0.146179184,2.471535683,247.5534668,65,40,0
122,373638,7347284,3.219949245,-0.007090582,21.7802124,14.48589325,232.719696,2,90,1
85,381355,7355886,5.434751987,-0.043136597,9.122536659,43.47228241,276.374054,2,90,0
151,375217.0664,7349087.651,4.725493431,-0.002023813,31.82554626,129.6764374,160.8343506,65,90,1
15,371838,7346464,4.083959103,-2.525735855,32.26900482,25.42861366,279.8719788,2,90,0
81,380230,7355552,5.279261589,0.030181885,8.11007309,231.8913879,105.5099335,65,90,0
34,373058,7348231,6.826303482,-0.355356216,2.85973382,6.218484879,222.9115601,65,30,0
170,377535.0937,7354527.194,4.304924,4.304924,28.372442,68.982224,17.409184,2,90,1
195,380392,7357192,4.276698589,-6.15E-05,34.77697372,87.62624359,85.4450531,65,90,1
60,376797,7353333,4.108911514,-1.868926048,23.27712631,10.66286755,39.15785599,2,90,0
92,381050,7356427,4.723567009,-1.127494812,18.01828003,102.3424377,56.73396301,65,90,0
127,371933.4667,7347634.588,6.283392906,0.000619404,33.16337967,47.53638458,295.7649231,2,30,1
20,372439,7346714,5.914049149,-2.286361694,35.97553253,73.91891479,209.0000763,2,90,0
6,366577,7345380,4.137676716,-0.149528503,22.76284027,40.60118866,168.1837921,65,20,0
196,379740.3229,7357240.187,6.682012081,-0.008087832,11.33861351,5.026316166,0.30454123,65,90,1
185,378847,7355804,5.607791901,-0.021314397,18.2745018,7.478470325,296.5407104,65,90,1
171,377584.7938,7354582.006,4.157443047,0.003729326,38.0387764,45.69155884,323.5971985,2,90,1
115,372083,7346335,3.346848726,0.002410404,35.1417923,59.77449799,130.4406128,2,90,1
55,379303,7352962,8.681236267,-0.10419669,0.630826235,0.055146791,281.2062683,2,30,0
14,372173,7346456,5.06114769,0.593574524,23.52258873,72.48641968,129.3930664,2,90,0
134,373085,7348103,3.150353909,-0.004177365,23.18883133,29.56752968,328.9649658,65,30,1
94,378948,7356730,7.961890697,0.022892237,0.733780682,1.136732697,215.7934265,2,20,0
191,381050,7356277,5.047700405,0.006975551,32.71705627,91.51044464,107.8471451,65,90,1
53,379591,7352802,5.178812504,-1.141643524,27.10231972,45.90842438,116.9457626,2,20,0
166,377383,7354379,4.580520153,-0.011386218,27.13415909,13.50446892,279.2990723,2,90,1
163,377099,7353932,9.01970768,-0.006065866,6.186596394,1.136379004,318.3579712,2,90,1
28,371933,7347785,8.299062729,-0.232290551,0.774993658,0,325.9234314,2,30,0
189,379107.6353,7356031.792,5.45425272,0.000719685,18.8932991,64.99707031,310.6597595,65,90,1
181,380427,7355556,5.458826065,-0.004488463,27.06823921,169.9176025,172.7722015,65,90,1
89,380895,7356154,2.840043783,-0.620513916,29.90983963,123.0701904,117.4553299,65,90,0
2,367437,7344459,7.135951996,-0.234359503,3.810343742,1.641577959,186.8352051,65,90,0
72,377585,7354732,11.4862318,-0.010372491,0.058138482,0.004615298,168.8162994,2,70,0
57,376851,7353199,6.205888271,-1.588041306,17.4113369,19.89842606,86.02842712,2,90,0
150,375711,7348857,5.155329227,0.006003553,24.77268982,17.39791679,113.4725494,2,20,1
117,371843,7346480,4.025763035,-0.008107572,28.1687851,29.66653061,282.0887146,2,90,1
26,373849,7347597,3.20570159,3.188842773,19.96800804,89.50300598,75.97199249,65,20,0
153,379634,7352698,7.075948238,-0.018902203,16.03279495,5.506398201,115.2185287,2,30,1
156,376851,7353049,4.611409187,-0.018365832,26.42233276,8.162531853,88.6470108,2,30,1
113,372173,7346306,6.538524628,-0.013330503,20.64135742,8.205113411,124.8851013,2,90,1
33,372941,7348148,7.480988026,0.048704743,2.104170561,1.578154087,229.7566071,65,30,0
47,374437,7348212,3.872706652,-1.001098633,29.69758224,80.4866333,54.56554031,2,90,0
187,379331,7355938,3.669877291,0.012879906,27.00302887,185.1747437,226.2173462,65,90,1
99,380401,7357651,8.697547913,-0.015939943,0.172827542,0.062833428,134.6544342,65,70,0
133,373058,7348081,3.599532127,-0.005735134,28.6667614,30.54110527,323.7924194,65,30,1
44,373971,7347774,6.052490234,-0.516307831,18.82678986,57.33732605,138.5292969,65,90,0
116,371802,7346396,5.333580971,0.00957334,18.66872025,13.86297798,226.5265198,2,90,1
100,369756,7344020,3.450329542,-0.00430832,32.40345001,31.98293114,3.838684797,2,20,1
75,380247,7355225,4.368598938,-1.649963379,19.37535858,185.4013062,359.5980835,65,90,0
49,375221,7348909,3.859044075,-0.70634079,22.56103706,57.42175293,152.7730408,2,90,0
141,373481,7348487,7.144595146,-0.006549432,15.43968296,34.91998672,347.2944641,65,90,1
173,377719,7354677,4.891144753,-0.018088762,16.72619629,6.98177433,334.005188,2,90,1
51,375711,7349007,3.538900614,0.009843826,15.21666813,21.95957947,105.1343613,2,90,0
62,376611,7353447,8.101971626,-0.02925992,0.641940355,0.911273718,11.29708862,2,20,0
42,373481,7348637,6.466827869,0.064900875,0.747007966,4.900272369,138.5931396,65,20,0
29,371924,7347839,6.97986269,-0.009657919,0.492739826,0.223068714,114.8579025,2,30,0
46,374080,7348006,5.187583447,-0.547927856,19.61429214,130.8067017,145.155304,65,90,0
39,373513,7348531,5.175645828,-0.405160904,27.02249908,35.76950836,301.813324,65,90,0
93,381007,7356533,6.440220356,-1.196228027,13.29002571,98.95081329,22.86056137,65,90,0
130,373697,7347730,4.432211399,-0.008130639,30.72761917,151.2314453,157.1707916,65,90,1
102,366952,7344709,9.032745361,-0.018978221,12.92823887,1.446991682,80.87528229,65,90,1
125,373849,7347447,4.856287003,-0.014100105,28.57059479,52.26003647,139.2436371,2,20,1
176,380573,7355121,4.956262589,0.004380087,26.23144722,135.140625,359.4183655,65,90,1
129,372536,7347728,5.244135857,-0.00908362,34.45750427,25.57762909,60.7914505,65,30,1
131,372376,7347832,4.464550495,0.00322865,24.72109985,30.01114845,317.0439758,65,30,1
32,372376,7347982,6.656918049,-0.067927837,2.095367432,3.784071445,327.017334,65,20,0
24,372051,7347463,3.469707966,3.337936401,17.51788712,132.0895081,276.5443726,65,20,0
164,377247,7353988,5.888437748,-0.011307991,14.00481987,6.933695793,318.743042,65,90,1
190,379289,7356161,12.44157791,-0.586256087,1.941062689,4.999742985,327.4280396,65,90,1
172,377715.4625,7354614.55,3.366520405,0.002565578,34.61306,55.50190735,324.7636719,65,90,1
174,380247,7355075,3.111852407,0.009216893,65.80791473,183.3863068,335.5787048,65,90,1
70,377535,7354677,8.084300041,-0.312238574,2.661131382,0.626368403,17.62577629,2,70,0
48,375215,7348899,3.243899584,0.848140717,19.86597061,54.27792358,147.5427094,2,90,0
1,369756,7344170,9.038999558,-0.031127691,0.111766271,0.167729974,12.79678822,2,90,0
128,371923.9063,7347689.031,3.276497602,0.005552585,37.06031418,24.20172119,298.2260742,2,30,1
136,373158,7348156,4.617191315,-0.008527162,21.56494331,30.23019981,322.1996765,65,30,1
5,371074,7345261,5.08541441,-2.184034348,23.88763428,19.4783802,108.4600143,2,90,0
27,373367,7347720,3.593677044,1.022888184,14.42043209,109.8360901,59.08795547,65,90,0
82,380427,7355706,3.024185658,0.428451538,24.23227692,169.6220551,42.32316971,65,90,0
138,373513.4115,7348380.505,4.140251637,0.002085091,43.68532944,95.91963959,309.282959,65,90,1
17,371802,7346546,5.019625187,0.56978035,29.29287529,34.93101883,180.7386475,2,20,0
41,373418,7348624,12.24502945,-2.49027133,1.427121997,3.702581406,48.8081398,65,20,0
142,373978,7347581,4.305000782,-0.011585555,34.0210762,35.62447357,91.68804932,2,20,1
31,373697,7347880,4.00331831,-1.040359497,26.35287285,140.8141022,300.7915039,65,90,0
110,370946.0334,7346022.025,4.132582664,-0.000184477,43.90483093,46.62856293,316.640686,2,30,1
74,377719,7354827,10.64121437,-0.039318856,0.169212386,0.012514601,269.1696167,2,70,0
179,381065,7355286,5.470358849,-0.019511081,22.82974434,10.28103828,175.213913,2,90,1
16,372083,7346485,4.988731384,1.225082397,11.02236366,102.1170502,176.6105042,2,90,0
158,379144,7353157,7.022772789,-0.024067197,14.01349735,10.54997253,144.7627258,65,30,1
66,376841,7354315,7.738698006,-0.025693297,0.930300832,0.744206667,117.6410828,2,70,0
118,372397,7346481,4.300268173,-0.001069298,7.724978447,9.947507858,236.2792969,2,90,1
86,378847,7355954,5.334516525,-1.071891785,10.26778698,6.685788155,250.5328522,65,90,0
