FiD,X,Y,twi,curvature,slope,elevation,aspect,lithology,land_use,class
84,379676,7355756,4.074888706,-1.557739258,32.58915329,206.2011566,234.9352875,2,90,0
57,376851,7353099,5.99823761,-2.648058414,21.67489624,10.36489201,101.1458359,2,20,0
127,371933.4667,7347634.588,6.283392906,0.000619404,33.16337967,47.53638458,295.7649231,2,30,1
169,377535.0937,7354527.194,2.814144611,0.007810368,30.94521713,68.98222351,17.4091835,2,90,1
174,380247,7355075,3.111852407,0.009216893,65.80791473,183.3863068,335.5787048,65,90,1
79,380692,7355323,3.143927574,6.52797699,62.9329834,50.93318939,344.5882263,2,90,0
61,379188,7353276,7.628951073,-0.380898476,3.21373367,7.352151871,88.09784699,65,30,0
69,377410,7354502,6.178997517,0.16089201,14.14565659,8.58482933,278.1956177,2,90,0
4,370587,7344800,4.698392391,3.406162262,27.81221581,18.8023243,269.9975586,2,20,0
40,373334,7348493,5.636507988,-0.166506767,17.10481453,12.44266129,314.5317688,65,30,0
58,376778,7353150,5.485952377,1.034606934,31.01387596,48.67389297,114.5374298,2,90,0
109,370846,7345612,6.102495193,-0.014795267,15.02801991,8.312385559,244.1455689,2,20,1
42,373481,7348537,7.419734478,-2.07913208,18.47358704,20.57678413,334.4129028,65,90,0
45,374231,7347857,4.312169075,-0.619678497,36.98630142,30.85391235,134.2320251,2,90,0
147,375215,7348749,3.332907915,-0.008558434,19.64105988,34.96390915,116.8308334,2,90,1
72,377585,7354632,5.389004231,-2.898139477,25.32463074,8.599218369,342.8330688,2,90,0
78,380890,7355223,4.025868893,0.63526535,26.09559441,65.13246155,87.0530014,65,90,0
50,375682,7348865,4.590202332,0.209856033,25.15217781,30.16059875,89.14653015,2,20,0
27,373367,7347620,4.303349018,-2.426483154,36.39404297,77.65805817,148.4381714,2,90,0
173,377719,7354677,4.891144753,-0.018088762,16.72619629,6.98177433,334.005188,2,90,1
23,373638,7347334,3.068399906,5.418720245,23.5606842,39.37648773,187.4043884,2,90,0
66,376841,7354215,5.149376392,-0.301350832,6.20365143,2.942604303,313.3042603,2,90,0
35,373085,7348153,6.192887306,-2.501226425,22.02296066,12.38096523,307.1086426,65,30,0
99,380401,7357551,10.21135998,-0.01040858,0.06431786,0.004928366,208.9328461,65,70,0
166,377383,7354379,4.580520153,-0.011386218,27.13415909,13.50446892,279.2990723,2,90,1
18,371843,7346530,5.868601322,-1.152360916,9.30811882,28.62101746,224.745285,2,90,0
101,367437,7344309,6.841595173,-0.017730555,23.18181992,5.089533329,45.19527435,65,90,1
102,366952,7344709,9.032745361,-0.018978221,12.92823887,1.446991682,80.87528229,65,90,1
85,381355,7355786,4.095580101,-0.080818176,25.04059601,51.25736618,221.0443726,65,90,0
41,373418,7348524,3.865308762,0.929197311,21.8457756,22.45522308,320.6125488,65,20,0
133,373058,7348081,3.599532127,-0.005735134,28.6667614,30.54110527,323.7924194,65,30,1
3,366952,7344759,5.937159538,-1.779597282,9.98804283,1.10332942,95.01278687,65,90,0
110,370946.0334,7346022.025,4.132582664,-0.000184477,43.90483093,46.62856293,316.640686,2,30,1
177,380890,7355173,5.186469078,-0.000320228,26.71403694,65.00498962,89.91781616,2,90,1
155,377535,7352870,4.24058485,-0.0456273,23.36314964,16.52991867,16.72984314,65,90,1
185,378847,7355804,5.607791901,-0.021314397,18.2745018,7.478470325,296.5407105,65,90,1
13,371944,7346314,3.848193645,-0.608493805,38.44643784,50.33005524,194.5154266,2,90,0
11,370946,7346072,3.320050001,-1.358991623,19.83403587,24.54346657,311.0454712,2,30,0
170,377535.0937,7354527.194,4.304924,4.304924,28.372442,68.982224,17.409184,2,90,1
192,381007,7356383,6.072815895,-0.002748011,7.87295675,115.0125427,89.96906281,65,90,1
28,371933,7347685,2.669433355,2.863452911,32.50548553,33.70830154,294.2679138,2,30,0
24,372051,7347363,5.304365635,1.904403687,14.95384598,139.9013519,298.6205444,65,20,0
8,366716,7345418,3.620190382,1.771331787,36.86881256,47.90430832,176.8726044,65,90,0
193,378948,7356580,3.619275093,-0.017792666,15.0950098,2.292150021,326.8956299,2,90,1
119,372439,7346564,6.534352303,0.002965473,20.69125748,19.49218369,266.3990784,2,90,1
88,379331,7355988,3.160892248,1.654312134,21.32353973,179.4325714,334.2196045,65,90,0
151,375217.0664,7349087.651,4.725493431,-0.002023813,31.82554626,129.6764374,160.8343506,65,90,1
51,375711,7348907,4.589591503,-0.262735367,11.18567753,18.67368317,64.48712158,2,90,0
7,371091,7345282,6.204043865,-1.264230728,26.10112572,22.63342667,150.5225677,2,90,0
141,373481,7348487,7.144595146,-0.006549432,15.43968296,34.91998673,347.2944641,65,90,1
186,381307,7355824,6.148293495,-0.007408384,9.70205307,35.09121323,250.9653015,2,90,1
184,381355,7355736,3.58451438,0.007190312,29.03040504,26.77646637,204.0003815,2,90,1
113,372173,7346306,6.538524628,-0.013330503,20.64135742,8.205113411,124.8851013,2,90,1
34,373058,7348131,5.054715633,-1.474455357,23.81395721,10.16118813,331.5702515,65,30,0
195,380392,7357192,4.276698589,-6.15E-05,34.77697372,87.62624359,85.4450531,65,90,1
180,380230,7355402,5.344609737,0.000538481,13.42476082,189.9815979,180.9011688,65,90,1
163,377099,7353932,9.01970768,-0.006065866,6.18659639,1.136379004,318.3579712,2,90,1
77,380573,7355171,5.132545471,-2.68838501,33.61918259,100.1508865,356.0801392,2,90,0
1,369756,7344070,5.631031513,-4.222157478,26.18573189,6.414657116,339.1895447,2,90,0
168,377410,7354452,4.031870842,-0.019764321,35.36120224,14.52309227,284.9174194,2,90,1
121,371658,7347211,7.58067131,-0.010924788,11.79544353,2.482979774,271.4399719,2,30,1
135,373085,7348103,3.785868,3.785868,24.407747,29.56753,327.68576,65,30,1
150,375711,7348857,5.155329227,0.006003553,24.77268982,17.39791679,113.4725494,2,20,1
49,375221,7348809,5.582105637,-3.34015274,19.79083061,40.54073334,107.9655914,2,90,0
53,379591,7352702,3.025161982,1.523910522,23.3174305,24.63607979,111.6521988,2,30,0
179,381065,7355286,5.470358849,-0.019511081,22.82974434,10.28103828,175.213913,2,90,1
70,377535,7354577,4.241344452,-2.076417923,38.29213333,33.57671356,10.92064953,2,90,0
65,377247,7354038,7.593956947,-0.305547237,4.46960545,4.137529373,280.5582581,65,90,0
165,376841,7354165,4.452368736,-0.018912658,19.26595688,5.33796978,266.3388977,2,90,1
152,379591,7352652,4.195761681,-0.01240391,24.31241035,11.28166866,134.1849213,2,30,1
21,371946,7347188,5.820354939,0.049636841,26.6021328,119.9284897,270.2418823,2,20,0
159,376797,7353183,5.254999638,-0.001757329,27.57062721,44.77903366,100.0996018,2,90,1
52,375217,7349138,3.32579875,3.620269775,33.74829102,166.7536469,162.3703613,65,90,0
116,371802,7346396,5.333580971,0.00957334,18.66872025,13.86297798,226.5265198,2,90,1
75,380247,7355125,6.61802721,-61.44933701,9.12918758,5,166.1357117,65,90,0
64,377099,7353982,11.21967983,-0.001262696,0.00253624,0,125.4352722,2,20,0
157,376778,7353100,5.418625355,-0.018787326,21.75156975,40.25185776,96.37905884,2,90,1
